Step,Price,Predicted Signal,Step Return,Trade Status
0,68183.78,[0.09269165],0.0,Trade initiated
1,68183.78,[0.09185028],-0.00075806153,Trade open
2,68132.09,[0.09176706],0.00021266054,Trade open
3,68198.28,[0.0995135],-0.0004900588,Trade open
4,68150.37,[0.09707161],-0.002852699,Trade open
5,67989.27,[0.0950887],-0.0025486038,Trade open
6,68010.01,[0.09577785],-0.0031397222,Trade open
7,67969.7,[0.09522171],-0.0031679089,Trade open
8,67967.78,[0.09271166],-0.0017128569,Trade open
9,68066.99,[0.1058027],-0.00011377798,Trade open
10,68176.02,[0.12885423],-0.0025780508,Trade open
11,68008.0,[0.10616051],-0.006901843,Trade open
12,67713.19,[0.09173591],-0.006449939,Trade open
13,67744.0,[0.09312727],-0.006240258,Trade open
14,67758.3,[0.0943938],-0.0062561845,Trade open
15,67757.21,[0.09665407],-0.0064239297,Trade open
16,67745.77,[0.09663166],-0.007884137,Trade open
17,67646.21,[0.09306322],-0.012917181,Trade open
18,67303.04,[0.09429782],-0.009559642,Trade open
19,67531.97,[0.09754387],-0.008503328,Trade open
20,67603.99,[0.103816],-0.007703903,Trade closed
21,67658.5,[0.11709367],0.0,Trade initiated
22,67658.5,[0.11269747],-0.0002491834,Trade open
23,67641.64,[0.1118587],0.0026424064,Trade open
24,67837.28,[0.12956007],0.0028667639,Trade open
25,67852.46,[0.13047642],0.00290764,Trade open
26,67855.23,[0.13003354],0.0048406012,Trade open
27,67986.01,[0.13188998],0.006610981,Trade open
28,68105.79,[0.13718718],0.0061706956,Trade open
29,68076.0,[0.13497247],0.0059622726,Trade open
30,68061.9,[0.13194017],0.005184008,Trade open
31,68009.24,[0.12877606],0.009983963,Trade open
32,68334.0,[0.13504124],0.015038876,Trade open
33,68676.01,[0.14020061],0.00964864,Trade open
34,68311.31,[0.13350962],0.009406385,Trade open
35,68294.92,[0.13078488],0.0004656889,Trade open
36,67690.01,[0.11343455],-0.000775032,Trade open
37,67606.06,[0.10767823],0.00016997126,Trade open
38,67670.0,[0.11114813],-0.0035545006,Trade open
39,67418.01,[0.10305052],-0.012156524,Trade open
40,66836.01,[0.09561387],-0.0038207737,Trade open
41,67399.99,[0.10675582],-0.009339413,Trade closed
42,67026.61,[0.11245344],0.0,Trade initiated
43,67026.61,[0.10564642],-0.0013817973,Trade open
44,66933.99,[0.10394999],-0.0026349144,Trade open
